filename, language, JSON, JavaScript, HTML, CSS, comment, blank, total
a:\Javascripts Excercise\NodeJS\models\author.js, JavaScript, 0, 20, 0, 0, 0, 5, 25
a:\Javascripts Excercise\NodeJS\models\book.js, JavaScript, 0, 42, 0, 0, 0, 4, 46
a:\Javascripts Excercise\NodeJS\models\user.js, JavaScript, 0, 16, 0, 0, 0, 1, 17
a:\Javascripts Excercise\NodeJS\package-lock.json, JSON, 1480, 0, 0, 0, 0, 1, 1481
a:\Javascripts Excercise\NodeJS\package.json, JSON, 30, 0, 0, 0, 0, 1, 31
a:\Javascripts Excercise\NodeJS\passport-config.js, JavaScript, 0, 27, 0, 0, 0, 4, 31
a:\Javascripts Excercise\NodeJS\public\javascripts\fileUpload.js, JavaScript, 0, 22, 0, 0, 0, 6, 28
a:\Javascripts Excercise\NodeJS\public\stylesheets\main.css, CSS, 0, 0, 0, 48, 0, 13, 61
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\author.css, CSS, 0, 0, 0, 8, 0, 1, 9
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\book.css, CSS, 0, 0, 0, 37, 0, 4, 41
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\button.css, CSS, 0, 0, 0, 30, 0, 9, 39
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\fonts.css, CSS, 0, 0, 0, 56, 0, 9, 65
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\form.css, CSS, 0, 0, 0, 79, 10, 13, 102
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\header.css, CSS, 0, 0, 0, 41, 0, 7, 48
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\table.css, CSS, 0, 0, 0, 15, 0, 5, 20
a:\Javascripts Excercise\NodeJS\public\stylesheets\shared\variables.css, CSS, 0, 0, 0, 5, 0, 1, 6
a:\Javascripts Excercise\NodeJS\routes\authors.js, JavaScript, 0, 165, 0, 0, 7, 15, 187
a:\Javascripts Excercise\NodeJS\routes\books.js, JavaScript, 0, 153, 0, 0, 4, 13, 170
a:\Javascripts Excercise\NodeJS\routes\index.js, JavaScript, 0, 22, 0, 0, 0, 2, 24
a:\Javascripts Excercise\NodeJS\routes\users.js, JavaScript, 0, 94, 0, 0, 15, 14, 123
a:\Javascripts Excercise\NodeJS\server.js, JavaScript, 0, 39, 0, 0, 3, 13, 55
a:\Javascripts Excercise\NodeJS\views\authors\_form_fields.ejs, HTML, 0, 0, 4, 0, 0, 0, 4
a:\Javascripts Excercise\NodeJS\views\authors\edit.ejs, HTML, 0, 0, 7, 0, 0, 0, 7
a:\Javascripts Excercise\NodeJS\views\authors\index.ejs, HTML, 0, 0, 75, 0, 14, 2, 91
a:\Javascripts Excercise\NodeJS\views\authors\new.ejs, HTML, 0, 0, 6, 0, 0, 0, 6
a:\Javascripts Excercise\NodeJS\views\authors\view.ejs, HTML, 0, 0, 28, 0, 0, 2, 30
a:\Javascripts Excercise\NodeJS\views\books\_form_fields.ejs, HTML, 0, 0, 54, 0, 0, 3, 57
a:\Javascripts Excercise\NodeJS\views\books\edit.ejs, HTML, 0, 0, 7, 0, 0, 0, 7
a:\Javascripts Excercise\NodeJS\views\books\index.ejs, HTML, 0, 0, 61, 0, 6, 9, 76
a:\Javascripts Excercise\NodeJS\views\books\new.ejs, HTML, 0, 0, 9, 0, 0, 0, 9
a:\Javascripts Excercise\NodeJS\views\books\view.ejs, HTML, 0, 0, 19, 0, 0, 1, 20
a:\Javascripts Excercise\NodeJS\views\index.ejs, HTML, 0, 0, 22, 0, 0, 3, 25
a:\Javascripts Excercise\NodeJS\views\layouts\layout.ejs, HTML, 0, 0, 28, 0, 0, 7, 35
a:\Javascripts Excercise\NodeJS\views\partials\deleteForm.ejs, HTML, 0, 0, 7, 0, 0, 0, 7
a:\Javascripts Excercise\NodeJS\views\partials\errorMessage.ejs, HTML, 0, 0, 5, 0, 0, 0, 5
a:\Javascripts Excercise\NodeJS\views\partials\header.ejs, HTML, 0, 0, 23, 0, 4, 4, 31
a:\Javascripts Excercise\NodeJS\views\partials\successMessage.ejs, HTML, 0, 0, 5, 0, 0, 0, 5
a:\Javascripts Excercise\NodeJS\views\users\forget.ejs, HTML, 0, 0, 5, 0, 0, 0, 5
a:\Javascripts Excercise\NodeJS\views\users\login.ejs, HTML, 0, 0, 20, 0, 0, 3, 23
a:\Javascripts Excercise\NodeJS\views\users\register.ejs, HTML, 0, 0, 18, 0, 0, 3, 21
a:\Javascripts Excercise\NodeJS\views\users\resetpsw.ejs, HTML, 0, 0, 16, 0, 0, 1, 17
Total, -, 1510, 600, 419, 319, 63, 179, 3090
